mangaid,plateifu,ff_age_lw,ff_age_mw,ff_mass,dl_ttype,gz_p_nobulge,gz_p_obvious,gz_p_dominant,gz_ttype
1-382806,9491-1901,8.79909688924785,11.294002050338216,10.015376091003418,-1.7399088144302368,0.0,0.42105263157894735,0.2857142857142857,1.279924812030075
1-384065,8939-9102,,,10.849041938781738,-2.355731964111328,0.0,0.5714285714285714,0.0,3.3328571428571427
1-299015,9507-6101,7.043021406861019,7.555853010249517,10.502664566040039,-2.4572629928588867,0.0,0.5869565217391305,0.2972972972972973,0.8062573443008216
1-188110,8995-12701,10.37832124599699,13.11323953281411,11.103708267211914,-2.207970142364502,0.0,0.3725490196078432,0.0,3.784313725490196
1-404164,9876-6103,9.125612019593893,13.79011007528567,9.233990669250488,2.7803072929382324,0.3939393939393939,0.21875,0.0,5.776164772727272
1-278490,8451-12705,4.647691378451317,8.519227045072249,9.97477912902832,3.8184542655944824,0.5777777777777777,0.0,0.0,7.039333333333333
1-216805,8440-3702,6.560136702881119,8.350466336845724,10.68764877319336,-2.3533782958984375,0.0,0.0,1.0,-3.750000000000001
1-632371,9044-3701,7.679616943563506,11.737730430089172,10.753252983093262,-0.7339085340499878,0.0,0.46,0.2432432432432433,1.5474216216216208
1-210773,8603-1902,9.124538739499197,10.94476660660481,10.345683097839355,-2.407334327697754,0.0,0.4482758620689655,0.6,-1.4155862068965526
1-401757,8322-6102,4.321176418296533,6.70007135937406,10.325715065002441,1.3143223524093628,0.0625,0.2923729349560825,0.0,4.226938437649693
1-299094,9507-1901,7.4463913652102205,11.27128270635578,11.071863174438477,-2.6857800483703613,0.0,0.68,0.42857142857142855,-0.5050285714285718
1-113315,7972-3702,4.111207956993817,4.973988138754536,10.51852798461914,-1.046230435371399,,,,
1-51660,8727-9101,5.160786159624301,7.4696777050371885,10.56210994720459,4.112070560455322,0.0,0.5476190476190477,0.4,0.03490476190476155
1-277308,8993-1901,8.332646986900366,9.918576591603847,9.359480857849121,-2.141268730163574,0.1875,0.0,0.0,5.411875
1-392862,8568-3702,7.353101744641614,9.685351707427992,10.278533935546875,-2.1277828216552734,0.0,0.4878048780487805,0.0,3.522682926829268
1-585869,8456-3701,8.286002006374693,10.47831781667849,10.329339027404785,-1.9524832963943481,0.0,1.0,0.0,2.36
1-592810,9864-9101,8.820908315556032,11.993712212007157,10.1532564163208,10.0,0.10869565217391304,0.4716981132075472,0.08254804683828884,3.3207535200792244
1-289868,8616-6102,6.793361339480496,10.99141015653675,9.304410934448242,5.02031135559082,0.1956521739130435,0.16326530612244894,0.0,5.075257320319432
1-167688,8452-1901,6.581433731972387,11.571630207008077,9.636589050292969,2.145936965942383,0.0,0.5806451612903226,0.0,3.3119354838709674
1-38011,8081-6101,3.9848453813156928,8.097273063138129,9.611978530883789,2.145247459411621,0.4230769230769231,0.0,0.11131703703852944,5.461393998847893
1-419450,8554-9101,2.616036058618295,4.5522515410584115,9.320321083068848,4.796934604644775,0.35,0.2,0.02631578947368421,5.414973684210526
1-177027,9883-6104,10.245090735075635,13.183725493736134,11.228177070617676,-2.4736275672912598,0.0,1.0,0.0,2.36
1-315770,9044-9102,8.749343642076266,12.561009215219766,10.974526405334473,-1.8679779767990112,0.0,1.0,0.0,2.36
1-390228,8944-6102,9.918576591603847,12.437405132706141,10.850359916687012,-2.4107236862182617,0.0,0.631578947368421,0.4205433691393232,-0.32783764391384507
1-279410,8945-9102,6.485646984241087,11.526671607196745,10.490472793579102,2.532705783843994,0.0,0.5,0.5,-0.6950000000000003
