mangaid,plateifu,p3d_age_lw,p3d_age_mw,p3d_mass,dl_ttype,gz_p_nobulge,gz_p_obvious,gz_p_dominant,gz_ttype
12-129434,7495-6101,0.5539069486980835,2.0850002049018466,9.226029396057129,4.4346208572387695,,,,
12-192116,7495-6102,0.22821143526505902,2.4388446817052163,9.635655403137207,5.797828674316406,,,,
12-129602,7495-6103,1.1936018250632665,3.359028169464543,9.17531681060791,4.329702377319336,,,,
12-129534,7495-6104,1.338200261885229,5.261139609195346,9.524787902832031,5.247796058654785,,,,
12-129610,7495-9101,0.3348540944809113,1.44227184885303,9.179548263549805,5.151121139526367,,,,
12-129609,7495-9102,4.901387752973437,7.9307265003462115,10.256311416625977,2.2628064155578613,,,,
1-113567,8618-1902,0.3172181530776993,1.3754140500892056,9.051045417785645,,0.6410256410256411,0.0,0.06918081243569871,6.723341714865768
1-113469,7972-12705,0.5343433346657849,3.361492705436979,9.647329330444336,,,,,
1-113403,7815-12703,1.7710154547533634,3.743743482589537,10.560359954833984,0.5,,,,
1-113418,7815-12704,2.627122498981325,9.039954974796077,10.872027397155762,3.8645505905151367,,,,
1-635503,8618-6101,2.653380387806021,3.305568043888865,11.018871307373047,,0.0,0.5333333333333333,0.1309051967939985,2.322347784199626
1-113520,7815-1901,4.053534393745396,6.16630152469554,9.826803207397461,-2.6402206420898438,,,,
1-113525,8618-6103,2.9723222592537337,8.78982476432699,9.690118789672852,,0.060606060606060615,0.05263157894736842,0.0,4.763253588516746
1-113468,7815-3701,2.38057726397819,6.412886683959475,10.940275192260742,1.2175076007843018,,,,
1-113540,7815-3702,1.2368189681959123,9.747505948927712,10.465009689331055,1.8,,,,
1-113585,7815-3703,6.114322514566069,8.172940009645965,11.011924743652344,-1.5521501302719116,,,,
1-113651,7815-3704,4.157064967713992,9.068028064122933,10.79518985748291,-1.217077374458313,,,,
1-113379,7972-3701,0.40500466160340615,2.5407870178120735,9.151406288146973,,,,,
1-113668,7815-6102,5.142169104488397,7.628424371402494,11.117088317871094,-2.0488815307617188,,,,
1-113521,7815-6103,0.6808025346004538,2.720367219586398,11.014400482177734,2.7493536472320557,,,,
1-113712,7815-6104,1.7419261519734617,9.836050271931654,11.176201820373535,2.969871997833252,,,,
1-113375,7972-12704,0.9896605517395656,4.205396543676338,10.095697402954102,,,,,
1-113219,7815-9102,0.47676847731308014,1.764098795522005,9.662711143493652,3.8500289916992188,,,,
1-546816,7957-12701,0.4764335730251457,8.406641661017767,10.61417293548584,3.9277286529541016,,,,
1-547131,7957-12702,0.7229574535321671,7.061019589747654,10.49818229675293,5.627027988433838,,,,
1-547210,7957-12703,3.7535556879355982,7.182341019981255,11.187386512756348,1.2,,,,
1-546807,7957-12704,0.5597061650995021,2.0708141722164544,10.156387329101562,5.60010290145874,,,,
1-547159,7957-12705,1.8334072062454998,6.753884107329191,10.906274795532227,2.380737066268921,,,,
1-634477,7957-1901,5.671306125026981,7.371803292675781,9.846295356750488,-0.5,,,,
1-547135,7957-1902,5.238371797612524,7.090230009871102,10.403305053710938,-2.081045627593994,,,,
1-634538,7957-3701,8.897350751507087,9.967137331536668,10.774171829223633,-2.4589834213256836,,,,
1-547180,7957-3702,4.019576847000629,7.7800713800612655,9.68701171875,2.0588138103485107,,,,
1-546813,7957-3703,0.6167737004027124,5.166821491146785,9.634793281555176,4.204241752624512,,,,
1-547107,7957-3704,0.8779986397660974,2.486753534185167,9.482694625854492,3.6540017127990723,,,,
1-561020,7957-6101,8.245171323827899,9.663216882033009,10.742804527282715,-2.488774299621582,,,,
1-561039,7957-6102,3.145234331412887,6.896727616419623,10.313013076782227,4.913111686706543,,,,
1-546834,7957-6103,9.873899809668819,10.784326927266102,10.830280303955078,-2.1676015853881836,,,,
1-595044,7957-6104,0.44221717397435906,7.373276535378916,10.199551582336426,4.852966785430908,,,,
1-177296,7957-9101,0.40656492224338225,4.083203403536398,9.770054817199707,3.988748073577881,,,,
1-547185,7957-9102,0.6788618250153726,7.223020909409405,10.304424285888672,4.770882606506348,,,,
1-177285,7958-12701,0.28894452916730284,4.6884066814285585,9.60616397857666,5.061112403869629,,,,
1-177745,7958-12702,0.7325425874478739,7.728036290376524,9.954307556152344,5.019730567932129,,,,
1-547415,7958-12703,0.5064353823049509,7.914390464882305,10.182771682739258,4.51718807220459,,,,
1-546966,7958-12704,0.41222401175338624,3.6558332116450396,10.172836303710938,5.869071960449219,,,,
1-177762,7958-12705,0.29121922849802234,1.5716568402979232,9.823677062988281,5.458786487579346,,,,
1-177236,9185-1901,3.1452619582191157,6.189567576435272,10.00061321258545,,0.0,0.6363636363636364,0.0,3.1854545454545455
1-547433,7958-1902,2.120498405033047,6.330754869920914,9.857523918151855,-0.4702126979827881,,,,
1-177735,7958-3701,6.745894946668162,8.576282234013755,10.987764358520508,-2.269754409790039,,,,
1-177284,7958-3702,1.1936568683752784,8.622395454768167,10.759451866149902,1.9447673559188843,,,,
1-177250,9185-3702,5.647581747307786,7.970690272896261,10.51048755645752,,0.0,0.5925925925925926,0.06,2.7820148148148145
1-547341,7958-3704,3.0285752239864983,5.505926650336662,9.829635620117188,1.041761875152588,,,,
1-547086,7958-6101,1.8466804611559429,8.292271543650818,10.439515113830566,2.3048810958862305,,,,
1-547018,7958-6102,5.178111640302907,7.508680437008791,11.003883361816406,-2.1110119819641113,,,,
1-547106,7958-6103,5.492365685962342,8.355111454554788,10.724194526672363,-1.8187562227249146,,,,
1-547403,7958-6104,7.472591818323469,10.246404102722277,11.225496292114258,-1.308573842048645,,,,
1-547402,7958-9101,2.2028414805107586,10.106715988439301,10.273447036743164,0.8553485870361328,,,,
1-547039,7958-9102,4.686759715015691,7.356198544654421,11.152410507202148,-1.7106441259384155,,,,
1-177626,7960-12701,1.3893228934599575,8.660232745059524,11.007368087768555,4.864925384521484,,,,
1-561017,9185-3704,3.0241293075732902,8.329684414493604,10.44654655456543,,0.021462157633549483,0.1596033327730689,0.0,4.357197631937035
1-178170,7960-12703,1.0047301761819636,7.229177657707951,10.244067192077637,4.181092739105225,,,,
1-177542,7960-12704,0.509520783124775,4.942794873690639,10.404095649719238,4.777221202850342,,,,
1-178130,7960-12705,1.3349893184681954,6.268353393753901,10.509178161621094,4.216541290283203,,,,
1-561016,7960-1901,7.58484497353964,9.541594008402038,11.186320304870605,-2.356215476989746,,,,
1-177617,7960-1902,8.905012881004112,9.994182514712312,10.586907386779785,-2.2376484870910645,,,,
1-177493,7960-3701,4.532658470696027,6.582730951692972,11.019529342651367,-2.122133731842041,,,,
1-177528,7960-3702,3.717789901671776,9.012423965688848,10.37828254699707,2.0363283157348633,,,,
1-547295,7960-3703,1.3676136914106316,8.330160001596607,10.093367576599121,-1.3182588815689087,,,,
1-177533,7960-3704,0.23895069399743316,3.589986468175218,9.621500968933105,6.084039211273193,,,,
1-177529,7960-6101,0.5342283564623669,2.2333514028423833,9.43908977508545,4.104125499725342,,,,
1-178157,7960-6102,0.6198381314046796,2.789798607020091,9.675971984863281,4.008816719055176,,,,
1-177763,7960-6103,1.2094135898906622,5.739624440746791,10.09083366394043,1.7542433738708496,,,,
1-178169,7960-6104,6.903030663621278,9.207785574473842,10.425518989562988,-2.404395580291748,,,,
1-547621,7960-9101,0.8584459564184476,8.774416212107317,9.816162109375,3.2775635719299316,,,,
1-547290,7960-9102,6.717454048647774,8.677384155164713,11.30153751373291,-2.0766515731811523,,,,
1-177822,7962-12701,0.647476460248206,7.666797468563661,9.964865684509277,4.717101573944092,,,,
1-178265,7962-12702,0.5816730667271777,6.234350595034741,10.384369850158691,5.359807968139648,,,,
1-178586,7962-12703,3.106220794117552,7.652030012536123,11.123146057128906,3.942984104156494,,,,
1-178414,7962-12704,1.2258977459795282,5.849675908902557,10.164113998413086,5.339303970336914,,,,
1-178276,7962-12705,0.669668735168878,8.019638230886034,10.508639335632324,3.9552130699157715,,,,
1-178405,7962-1901,7.66967690448547,9.229243235645484,10.1073637008667,-2.190361499786377,,,,
1-178270,7962-1902,8.076598051256337,9.171240726718631,9.95854377746582,-2.3122458457946777,,,,
1-178473,9085-3701,9.049329496697213,10.814111920445795,10.481328010559082,,0.0,0.5,0.0,3.495
1-177796,7962-3702,6.588298528348597,9.704257645589964,11.143952369689941,-2.2167110443115234,,,,
1-178541,7962-3703,5.033122951451364,6.672423447684918,10.919730186462402,-2.194845199584961,,,,
1-178204,7962-3704,6.5820082350712354,8.765345730588042,10.19410514831543,-1.73531973361969,,,,
1-178442,9085-3703,5.69051730863073,7.692210812276151,10.972886085510254,,0.0,0.68,0.4743297704573331,-0.8884834764324521
1-178233,7962-6102,0.4481579281023887,4.408500801356098,10.068901062011719,-0.851570725440979,,,,
1-178533,7962-6103,5.503714523480433,7.549683298919576,11.174571990966797,-2.264265537261963,,,,
1-178443,9085-3704,0.664381084496603,7.123830620055725,10.479117393493652,,0.2,0.4,0.2222222222222222,2.693777777777778
1-178482,7962-9101,1.730515095894597,5.44584041839987,11.151005744934082,3.3336400985717773,,,,
1-178550,7962-9102,6.410662088275675,8.464677129333534,10.477548599243164,-2.129255771636963,,,,
1-179247,7964-12701,0.36916108988299806,1.0585412685319135,9.512003898620605,5.8520002365112305,0.3333333333333333,0.19230769230769232,0.0576923076923077,5.1
1-179139,7964-12702,3.9547874385944,8.640534401423382,11.105524063110352,-1.6490341424942017,,,,
1-179535,7964-12703,6.153072947855915,9.428269577414959,10.578672409057617,-1.8450127840042114,,,,
1-179479,7964-12704,2.19897507327953,7.862372012721977,11.054055213928223,4.078113079071045,,,,
1-179151,7964-12705,1.3239104091880234,4.978098046601679,9.904557228088379,3.751235008239746,,,,
1-179372,7964-1901,3.397939701046786,5.913932116583559,10.727718353271484,-2.354332447052002,,,,
1-179682,7964-1902,1.6216713527407236,5.417905249402339,9.738507270812988,-2.264275074005127,,,,
1-179289,7964-3701,7.71708136443735,9.43373693633068,10.52657699584961,-0.3227980136871338,,,,
1-179248,7964-3702,8.329629540805898,10.465687462435175,10.626005172729492,-2.400012493133545,0.0,0.4888888888888889,0.0,3.5202222222222224
1-179530,7964-3703,6.45051150780928,8.96833988689272,10.590778350830078,-2.059457778930664,,,,
1-179395,7964-3704,0.5802620811246455,6.787351253237237,9.600057601928711,1.8195936679840088,,,,
1-179386,7964-6101,1.445861475004677,6.970694086650005,10.853143692016602,3.1469850540161133,,,,
1-179385,7964-6102,0.19937915734416614,0.9473719858528434,9.449216842651367,4.04327917098999,,,,
1-179135,7964-6103,,,9.094321250915527,-2.008037567138672,,,,
1-179351,7964-6104,3.501655172578962,6.186089060598113,11.028295516967773,-2.010451316833496,,,,
1-179503,7964-9101,0.7237516664740468,8.30309482648988,10.84087085723877,4.52162504196167,,,,
1-179679,7964-9102,2.1467825824171523,8.855190614260092,11.26267147064209,0.8,,,,
1-180513,7968-12701,1.4029872315250744,4.158297506884946,10.69587230682373,4.941839218139648,,,,
1-180336,7968-12702,1.1685414423424911,7.779012220275988,10.442569732666016,5.340909481048584,,,,
1-180629,7968-12703,1.8997357658565666,6.154491832887765,11.307170867919922,0.45303285121917725,,,,
1-180621,7968-12704,4.034273548561594,5.203496206799731,11.121315956115723,2.9619932174682617,,,,
1-180392,7968-12705,8.120381180284156,9.680271264728102,11.298867225646973,-0.3023722171783447,,,,
1-180163,7968-1901,5.486916920143711,9.599008400958548,10.504166603088379,-2.658508777618408,,,,
1-180540,7968-1902,1.315647883246321,3.143860204099275,10.217398643493652,4.522474765777588,,,,
1-180204,7968-3701,1.924673518534106,4.5546387985072565,10.6766996383667,4.100257396697998,,,,
1-180337,7968-3702,0.5169113872815256,8.251873157193337,9.601499557495117,4.456494331359863,,,,
1-180576,7968-3703,6.483899021979654,8.715922084362694,11.084037780761719,-2.4074959754943848,,,,
1-635629,7968-3704,0.6671529730469835,8.411959903504501,10.155267715454102,0.9713696241378784,,,,
1-180472,7968-6101,2.445628805787909,5.661550813525486,10.622310638427734,0.5546181201934814,,,,
1-180537,7968-6102,1.6068330805681537,2.5009040984624615,11.0053071975708,1.2953977584838867,,,,
1-180381,7968-6103,6.123526615322521,8.613406465862846,11.202527046203613,-2.565176486968994,,,,
1-180497,7968-6104,5.710508292636759,8.036773873114221,10.99329662322998,-2.3418617248535156,,,,
1-180172,7968-9101,3.4341106570065794,8.43189626326268,11.231571197509766,0.34987109899520874,,,,
1-180080,7968-9102,4.922842252797491,9.309787779904175,10.566878318786621,-2.3880205154418945,,,,
1-113265,7972-12703,1.4984392918696816,8.638788979855681,10.356717109680176,4.1607747077941895,,,,
1-113343,7972-1901,8.393784686708067,9.726167441959602,10.27103042602539,-1.8381985425949097,,,,
1-113273,7972-1902,0.24776563024483542,7.382997596683784,11.880516052246094,,,,,
1-113315,7972-3702,6.072161517402268,8.792759115325193,10.777884483337402,-1.046230435371399,,,,
1-113551,7972-3703,4.7715495608070615,7.41410979825866,10.741989135742188,-2.623464584350586,,,,
1-113405,7972-3704,2.4711197469131347,7.191115507027578,10.130709648132324,3.3042850494384766,,,,
1-113242,7972-6101,8.766269681613435,9.949315379848969,11.001852035522461,-2.624635696411133,,,,
1-113518,7972-6102,0.9720658677478733,2.7833368726059144,10.10760498046875,4.464414119720459,,,,
1-113368,7972-6103,7.387003156668435,10.720293615323634,11.053030014038086,-2.1516404151916504,,,,
1-113404,7972-6104,0.47721677983293,5.2095214273733355,10.141128540039062,2.9472546577453613,,,,
1-113292,7972-9101,2.55530677585496,5.200046565300079,11.127330780029297,-2.346745491027832,,,,
