mangaid,dl_ttype,ff_age_lw,ff_age_mw,ff_mass,gz_p_dominant,gz_p_nobulge,gz_p_obvious,gz_ttype,p3d_age_lw,p3d_age_mw,p3d_mass,plateifu,z
1-114171,-2.406559944152832,9.452127071163266,12.204180766031385,11.12896728515625,,,,,6.461683019623357,8.850738769817056,11.211753845214844,7975-3702,0.0881405
1-114303,5.3080105781555185,,,8.950166702270508,,,,,0.3963376922422515,2.2958666277216366,9.626117706298828,7975-1901,0.0220107
1-114306,4.555757999420166,4.78762679927455,9.265546142266613,10.42367172241211,,,,,0.9708627125130644,7.710255121352682,10.904412269592283,7975-9101,0.0636505
1-114325,4.5183634757995605,,,10.264541625976562,,,,,1.2719506248182586,7.448901766849266,10.67144012451172,7975-12703,0.0288791
1-114334,0.06471586227416992,4.507756687842312,6.047041607361322,9.921510696411133,,,,,3.961723651008013,9.003542397634485,10.270201683044434,7975-1902,0.0222473
1-114454,-0.31255245208740234,5.440656587701354,10.898120567961678,10.762174606323242,,,,,2.9890717941838867,6.269014137975943,11.02524471282959,7975-12704,0.0888606
1-114465,-2.132881164550781,6.147286779885771,9.616654229937634,10.649002075195312,,,,,1.9205740349691705,6.786829617357844,11.014045715332033,7975-6104,0.0788547
1-114500,5.177945137023926,3.364873311702518,5.650126201931411,9.822397232055664,,,,,0.91659858815152,8.77578433846918,10.31147575378418,7975-9102,0.0220849
1-114502,-2.569640636444092,8.377214524358845,10.006540478638506,10.802898406982422,,,,,7.2764795046518875,9.303983631851297,10.998896598815918,7975-6103,0.0798058
1-114532,-2.340228080749512,7.185265316167525,9.871821242072778,10.841614723205566,,,,,5.042205087731576,6.808279498259307,10.931249618530273,7975-3703,0.0902261
1-114928,-2.3798460960388184,8.659161908238692,9.965221035427264,10.31298542022705,,,,,7.1563174617830505,9.478276919718393,10.556506156921387,7977-3702,0.0273478
1-114955,1.6350765228271484,9.513835679638195,11.177114783871396,10.65530776977539,,,,,1.1011881623234718,7.392926282810006,11.213227272033693,7977-12701,0.0922799
1-114956,-0.27714240550994873,5.113289930020113,8.962081928925029,10.056157112121582,,,,,2.244773088685099,6.67188134263055,10.359496116638184,7977-3704,0.0270248
1-114973,-2.5201196670532227,,,11.052916526794434,,,,,5.418000428368411,8.466424555560943,11.274707794189453,7977-12702,0.12046
1-114980,3.8463525772094727,4.227886395095973,10.43167238066028,10.456598281860352,,,,,1.4338781948688692,9.775801150530578,10.927696228027344,7977-9102,0.0630915
1-114998,-2.2206993103027344,9.195549525033329,10.594900764422054,10.876795768737793,,,,,8.061182867162291,9.753479691891105,11.022799491882324,7977-6102,0.0614042
1-115062,-2.2204265594482417,8.285871228209492,10.009150174974932,9.620189666748047,,,,,6.272470414152068,7.467063968293622,9.869872093200684,7977-1901,0.0260569
1-115085,2.97719144821167,5.254076792949227,9.918576591603848,9.202261924743652,,,,,1.0127955262331023,6.390338629086781,9.680134773254396,7977-6103,0.0349304
1-115097,-1.7527388334274292,7.350734601822087,8.448968833198661,9.909029960632324,,,,,4.0581924071746815,7.843454980373084,10.237427711486816,7977-3701,0.0274473
1-115128,4.169426441192627,,,10.24107551574707,,,,,1.1044162345102162,7.299156357899465,10.496349334716797,7977-1902,0.0358116
1-115162,3.2937221527099614,5.204087558770381,8.162780423586991,10.59207534790039,,,,,2.0397233434677564,9.094870113550025,11.001502990722656,7977-12703,0.0738627
1-115320,0.40516650676727295,4.601046669427929,8.519227045072249,9.926922798156738,,,,,0.7208886611766081,8.218743227398557,10.349776268005373,7977-3703,0.0275274
1-120935,4.610706806182861,4.74098163251994,9.731995875871137,10.691137313842773,0.05882352941176471,0.0,0.52,2.956658823529412,1.3055491554148508,6.378954271128813,11.063413619995117,8144-12703,0.0389089
1-120941,4.864012718200684,2.875181409778867,4.227886395095973,9.584796905517578,0.025,0.0,0.3333333333333333,3.6638333333333333,1.3112206532215809,7.661327835850952,10.036328315734863,8144-9101,0.0157875
1-120943,-0.8468018770217896,,,10.585601806640623,0.0,0.0,0.3055555555555556,3.9363888888888887,5.7159029523300084,7.237643809701733,10.711003303527832,8144-6102,0.0393096
1-120955,5.286897659301758,4.414466329171118,7.353101744641613,10.07653522491455,0.0,0.36,0.0,6.1312,0.7363487425169309,6.456945526003755,10.563748359680176,8144-12702,0.0512278
1-120967,2.213181972503662,2.5250268219147034,4.990303642454165,10.799323081970217,0.2,0.0,0.8,1.138,3.1454139099910785,6.262946169080188,10.8981294631958,8144-12704,0.0889617
