ID,zCMB,mu,e_mu,RA,DEC,Sample,Host,morphology,Morph_quality,Notes,Host_RA,Host_DEC,cutsmask,mu_cosmo,HR,HR_err,H0
sn2006ef,0.016986666666666667,33.818602897560446,0.15437899911594696,31.08975506282468,-8.746665055025964,Hicken,NGC 809,S0a,0.0,,31.079039,-8.735292999999999,True,33.55145622875419,0.26714666880625515,0.1738112927323882,100.52725350224148
sn2006cs,0.02408333333333333,34.28416819983807,0.1367425950576989,206.3831733817565,35.604098524572244,Hicken,MCG +06-30-79,S0⚬,0.0,,206.395791,35.611128,True,34.3210852567402,-0.03691705690212643,0.15835412030122933,100.52725350224148
sn2006cq,0.04906666666666667,36.03879166144173,0.14614637786103066,201.14565869227764,30.979357287882628,Hicken,IC 4239,S0a,0.0,,201.10595800000002,30.959290999999997,True,35.90628344150879,0.13250821993293727,0.1665420483696581,100.52725350224148
sn2006cp,0.023283333333333333,34.053556746583446,0.12705783161813156,184.7936216706131,22.424476402445826,Hicken,UGC 7357,Scd,0.0,,184.805792,22.431528,True,34.24642789788392,-0.19287115130047286,0.15007059235161252,100.52725350224148
sn2006cg,0.02427,34.15683042236448,0.1662679571613577,196.2515422130953,28.73392496841452,Hicken,2MASX J13050256+2844204,S0⚬,0.0,,196.260583,28.739,True,34.33815430497696,-0.18132388261248167,0.18445195496896605,100.52725350224148
sn2006cf,0.04227,35.513981791045275,0.1278046906633477,163.51425894710866,46.00453690203657,Hicken,UGC 6015,Sbc,0.0,,163.510025,46.027999,True,35.57181422251007,-0.057832431464795775,0.1507034474350749,100.52725350224148
sn2006bw,0.030776666666666667,34.70595136947193,0.14913546394004268,218.48388959972786,3.810351031954048,Hicken,2MASS J14335806+0347502,S0-,0.0,,218.49191499999998,3.797318,True,34.86442870658314,-0.15847733711120782,0.1691711462332574,100.52725350224148
sn2006bt,0.03247666666666667,35.033954506772176,0.10972465360678607,239.175909645384,20.03992111933393,Hicken,WISEA J155630.23+200248.6,S0-,0.0,,239.126199,20.046745,True,34.983908969460714,0.050045537311461885,0.1357092101605178,100.52725350224148
sn2006bq,0.02148333333333333,34.158762910545576,0.11235639302018892,280.0038126728778,40.0270414608976,Hicken,NGC 6685,S0-,0.0,,279.994345,39.981788,True,34.06877952930536,0.08998338124021643,0.13784574409741324,100.52725350224148
sn2006bd,0.02281333333333333,34.60662579325733,0.1385656097266708,174.63466402704208,20.54172338453964,Hicken,UGC 6609,E,0.0,,174.62277,20.527714000000003,True,34.20138129865722,0.4052444946001117,0.15993097983876184,100.52725350224148
sn2006az,0.03157666666666667,34.84479654528665,0.10727087786714196,183.04680469905045,56.1847360467096,Hicken,NGC 4172,Sab,0.0,,183.062034,56.17755,True,34.921438201812904,-0.07664165652625599,0.13373306005490818,100.52725350224148
